year,month,creek,branch,species,count,type,count_percent,shannon,total_count,treatment,date
2003,8,Clubhead,Left,fabricia_sabella,44,macro,0.0713128038897893,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,manayunkia_aestuarina,109,macro,0.1766612641815235,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,eteone_heteropoda,47,macro,0.07617504051863858,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,captiella_capitata,13,macro,0.02106969205834684,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,nereis_diversicolor,13,macro,0.02106969205834684,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,streblospio_benedicti,45,macro,0.07293354943273905,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,polydora_cornuta,6,macro,0.009724473257698542,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,pygospio_elegans,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,marenzelleria_viridis,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,hobsonia_florida,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,orbiniidae,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,paranais_litoralis,3,macro,0.004862236628849271,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,tubificoides_benedeni,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,tubificoides_wasselli,91,macro,0.14748784440842788,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,tubificoides_brownae,13,macro,0.02106969205834684,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,monopylephorus_sp,7,macro,0.011345218800648298,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,psammoryctides_sp,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,cernosvitoviella_immota,189,macro,0.3063209076175041,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,orchestia_grillus,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,littorophiloscia_vittata,20,macro,0.03241491085899514,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,erichsonella_attenuata,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,edotea_triloba,17,macro,0.027552674230145867,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,hargeria_rapax,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,cyathura_polita,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,geukensia_demissa,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,melampus_b,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,nematostella_vectensis,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Left,oxyurostylis_smithi,0,macro,0,2.1022167138559253,617,fertilized,2003-08-01
2003,8,Clubhead,Right,fabricia_sabella,14,macro,0.052434456928838954,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,manayunkia_aestuarina,53,macro,0.19850187265917604,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,eteone_heteropoda,1,macro,0.003745318352059925,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,captiella_capitata,4,macro,0.0149812734082397,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,nereis_diversicolor,20,macro,0.0749063670411985,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,streblospio_benedicti,13,macro,0.04868913857677903,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,polydora_cornuta,0,macro,0,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,pygospio_elegans,1,macro,0.003745318352059925,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,marenzelleria_viridis,0,macro,0,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,hobsonia_florida,0,macro,0,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,orbiniidae,0,macro,0,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,paranais_litoralis,4,macro,0.0149812734082397,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,tubificoides_benedeni,1,macro,0.003745318352059925,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,tubificoides_wasselli,7,macro,0.026217228464419477,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,tubificoides_brownae,0,macro,0,1.5638002886683815,267,fertilized,2003-08-01
2003,8,Clubhead,Right,monopylephorus_sp,10,macro,0.03745318352059925,1.5638002886683815,267,fertilized,2003-08-01
